**flightid,entryTime(milliseconds),exitTime(milliseconds),transitTime(milliseconds),upperStreamSector,currentSector,downStreamSector
24,17190782,17203000,12218,TRACONTKPHX,ZAB46,ZAB38
24,17203000,17711000,508000,ZAB46,ZAB38,ZAB50
24,17711000,18213000,502000,ZAB38,ZAB50,ZAB68
24,18213000,19225000,1012000,ZAB50,ZAB68,ZAB94
24,19225000,19844000,619000,ZAB68,ZAB94,ZAB87
24,19844000,20926000,1082000,ZAB94,ZAB87,ZFW93
24,20926000,21722000,796000,ZAB87,ZFW93,ZFW47
24,21722000,22714000,992000,ZFW93,ZFW47,ZFW75
24,22714000,23077782,363782,ZFW47,ZFW75,TRACOND10
24,23077782,23709000,631218,TRACOND10,KDFW,XXXX
25,4140000,19534000,15394000,XXXX,PHOG,TRACONTPHOG
25,19534000,21830000,2296000,TRACONTPHOG,ZLA25,ZLA30
25,21830000,22473000,643000,ZLA25,ZLA30,ZLA40
25,22473000,22872000,399000,ZLA30,ZLA40,ZLA39
25,22872000,23669000,797000,ZLA40,ZLA39,ZAB92
25,23669000,24681000,1012000,ZLA39,ZAB92,ZAB50
25,24681000,25461000,780000,ZAB92,ZAB50,ZAB68
25,25461000,26561000,1100000,ZAB50,ZAB68,ZAB94
25,26561000,27156000,595000,ZAB68,ZAB94,ZAB87
25,27156000,28195000,1039000,ZAB94,ZAB87,ZFW93
25,28195000,28959000,764000,ZAB87,ZFW93,ZFW47
25,28959000,29624000,665000,ZFW93,ZFW47,ZFW94
25,29624000,29810000,186000,ZFW47,ZFW94,ZFW47
25,29810000,29920000,110000,ZFW94,ZFW47,ZFW75
25,29920000,30271041,351041,ZFW47,ZFW75,TRACOND10
25,30271041,30908000,636959,TRACOND10,KDFW,XXXX
26,18534000,19323041,789041,XXXX,KCVG,TRACONTKCVG
26,19323041,19326000,2959,TRACONTKCVG,ZIDLE,ZID20
26,19326000,19692000,366000,ZIDLE,ZID20,ZID82
26,19692000,20084000,392000,ZID20,ZID82,ZID91
26,20084000,20751000,667000,ZID82,ZID91,ZME61
26,20751000,21064000,313000,ZID91,ZME61,ZME24
26,21064000,22196000,1132000,ZME61,ZME24,ZME20
26,22196000,23519000,1323000,ZME24,ZME20,ZFW42
26,23519000,24257000,738000,ZME20,ZFW42,ZFW37
26,24257000,24626541,369541,ZFW42,ZFW37,TRACOND10
26,24626541,25397000,770459,TRACOND10,KDFW,XXXX
27,20263000,23854000,3591000,XXXX,MMMX,TRACONTMMMX
27,23854000,25033000,1179000,TRACONTMMMX,ZHU59,ZHU95
27,25033000,25692000,659000,ZHU59,ZHU95,ZHU78
27,25692000,26394000,702000,ZHU95,ZHU78,ZFW46
27,26394000,26866000,472000,ZHU78,ZFW46,ZFW62
27,26866000,27051041,185041,ZFW46,ZFW62,TRACOND10
27,27051041,28032000,980959,TRACOND10,KDFW,XXXX
28,17652000,18486782,834782,XXXX,KSEA,TRACONTKSEA
28,18486782,18903000,416218,TRACONTKSEA,ZSE31,ZSE07
28,18903000,19449000,546000,ZSE31,ZSE07,ZSE47
28,19449000,19835000,386000,ZSE07,ZSE47,ZSE48
28,19835000,20546000,711000,ZSE47,ZSE48,ZLC41
28,20546000,21950000,1404000,ZSE48,ZLC41,ZLC08
28,21950000,22965000,1015000,ZLC41,ZLC08,ZLC07
28,22965000,23145000,180000,ZLC08,ZLC07,ZLC05
28,23145000,24016000,871000,ZLC07,ZLC05,ZDV14
28,24016000,24485000,469000,ZLC05,ZDV14,ZDV03
28,24485000,24918000,433000,ZDV14,ZDV03,ZDV05
28,24918000,25305000,387000,ZDV03,ZDV05,ZDV25
28,25305000,25740000,435000,ZDV05,ZDV25,ZDV30
28,25740000,26809000,1069000,ZDV25,ZDV30,ZAB72
28,26809000,27585000,776000,ZDV30,ZAB72,ZAB98
28,27585000,28506000,921000,ZAB72,ZAB98,ZFW47
28,28506000,29523000,1017000,ZAB98,ZFW47,ZFW75
28,29523000,29878282,355282,ZFW47,ZFW75,TRACOND10
28,29878282,30519000,640718,TRACOND10,KDFW,XXXX
29,22164000,22998782,834782,XXXX,KLAS,TRACONTKLAS
29,22998782,23063000,64218,TRACONTKLAS,ZLA07,ZLA08
29,23063000,23542000,479000,ZLA07,ZLA08,ZLA35
29,23542000,24055000,513000,ZLA08,ZLA35,ZAB67
29,24055000,24920000,865000,ZLA35,ZAB67,ZAB93
29,24920000,25882000,962000,ZAB67,ZAB93,ZAB68
29,25882000,26295000,413000,ZAB93,ZAB68,ZAB94
29,26295000,27084000,789000,ZAB68,ZAB94,ZAB87
29,27084000,27928000,844000,ZAB94,ZAB87,ZFW93
29,27928000,28727000,799000,ZAB87,ZFW93,ZFW47
29,28727000,29706000,979000,ZFW93,ZFW47,ZFW75
29,29706000,30081282,375282,ZFW47,ZFW75,TRACOND10
29,30081282,30712000,630718,TRACOND10,KDFW,XXXX
30,22626000,23460782,834782,XXXX,KLAX,TRACONTKLAX
30,23460782,23634000,173218,TRACONTKLAX,ZLALA,ZLA21
30,23634000,23708000,74000,ZLALA,ZLA21,ZLA12
30,23708000,23837000,129000,ZLA21,ZLA12,ZLA40
30,23837000,24498000,661000,ZLA12,ZLA40,ZLA39
30,24498000,25069000,571000,ZLA40,ZLA39,ZAB92
30,25069000,26113000,1044000,ZLA39,ZAB92,ZAB50
30,26113000,26917000,804000,ZAB92,ZAB50,ZAB68
30,26917000,28053000,1136000,ZAB50,ZAB68,ZAB94
30,28053000,28666000,613000,ZAB68,ZAB94,ZAB87
30,28666000,29739000,1073000,ZAB94,ZAB87,ZFW93
30,29739000,30527000,788000,ZAB87,ZFW93,ZFW47
30,30527000,31497000,970000,ZFW93,ZFW47,ZFW75
30,31497000,31863782,366782,ZFW47,ZFW75,TRACOND10
30,31863782,32497000,633218,TRACOND10,KDFW,XXXX
31,23106000,23940782,834782,XXXX,KLAX,TRACONTKLAX
31,23940782,24124000,183218,TRACONTKLAX,ZLALA,ZLA12
31,24124000,24486000,362000,ZLALA,ZLA12,ZLA40
31,24486000,24998000,512000,ZLA12,ZLA40,ZLA39
31,24998000,25577000,579000,ZLA40,ZLA39,ZAB92
31,25577000,26635000,1058000,ZLA39,ZAB92,ZAB50
31,26635000,27451000,816000,ZAB92,ZAB50,ZAB68
31,27451000,28602000,1151000,ZAB50,ZAB68,ZAB94
31,28602000,29224000,622000,ZAB68,ZAB94,ZAB87
31,29224000,30311000,1087000,ZAB94,ZAB87,ZFW93
31,30311000,31110000,799000,ZAB87,ZFW93,ZFW47
31,31110000,32097000,987000,ZFW93,ZFW47,ZFW75
31,32097000,32461782,364782,ZFW47,ZFW75,TRACOND10
31,32461782,33101000,639218,TRACOND10,KDFW,XXXX
32,22164000,22998782,834782,XXXX,KSFO,TRACONTKSFO
32,22998782,23400000,401218,TRACONTKSFO,ZOA12,ZOA11
32,23400000,23541000,141000,ZOA12,ZOA11,ZOA14
32,23541000,23829000,288000,ZOA11,ZOA14,ZOA13
32,23829000,24076000,247000,ZOA14,ZOA13,ZLA26
32,24076000,24225000,149000,ZOA13,ZLA26,ZLA27
32,24225000,24912000,687000,ZLA26,ZLA27,ZLA38
32,24912000,25343000,431000,ZLA27,ZLA38,ZLA37
32,25343000,25897000,554000,ZLA38,ZLA37,ZLA35
32,25897000,26259000,362000,ZLA37,ZLA35,ZAB37
32,26259000,26841000,582000,ZLA35,ZAB37,ZAB45
32,26841000,27449000,608000,ZAB37,ZAB45,ZAB93
32,27449000,28169000,720000,ZAB45,ZAB93,ZAB68
32,28169000,28688000,519000,ZAB93,ZAB68,ZAB94
32,28688000,29319000,631000,ZAB68,ZAB94,ZAB87
32,29319000,29995000,676000,ZAB94,ZAB87,ZFW93
32,29995000,30634000,639000,ZAB87,ZFW93,ZFW47
32,30634000,31037000,403000,ZFW93,ZFW47,ZFW94
32,31037000,31371000,334000,ZFW47,ZFW94,ZFW47
32,31371000,31476000,105000,ZFW94,ZFW47,ZFW75
32,31476000,31808782,332782,ZFW47,ZFW75,TRACOND10
32,31808782,32443000,634218,TRACOND10,KDFW,XXXX
33,6000000,21739000,15739000,XXXX,PHNL,TRACONTPHNL
33,21739000,23971000,2232000,TRACONTPHNL,ZLA25,ZLA30
33,23971000,24596000,625000,ZLA25,ZLA30,ZLA40
33,24596000,24983000,387000,ZLA30,ZLA40,ZLA39
33,24983000,25759000,776000,ZLA40,ZLA39,ZAB92
33,25759000,26742000,983000,ZLA39,ZAB92,ZAB50
33,26742000,27500000,758000,ZAB92,ZAB50,ZAB68
33,27500000,28570000,1070000,ZAB50,ZAB68,ZAB94
33,28570000,29148000,578000,ZAB68,ZAB94,ZAB87
33,29148000,30158000,1010000,ZAB94,ZAB87,ZFW93
33,30158000,30900000,742000,ZAB87,ZFW93,ZFW47
33,30900000,31813000,913000,ZFW93,ZFW47,ZFW75
33,31813000,32190041,377041,ZFW47,ZFW75,TRACOND10
33,32190041,32823000,632959,TRACOND10,KDFW,XXXX
34,22662000,23451041,789041,XXXX,KMIA,TRACONTKMIA
34,23451041,23673000,221959,TRACONTKMIA,ZMA46,ZMA47
34,23673000,23839000,166000,ZMA46,ZMA47,ZMA24
34,23839000,23925000,86000,ZMA47,ZMA24,ZMA25
34,23925000,24641000,716000,ZMA24,ZMA25,ZMA08
34,24641000,25646000,1005000,ZMA25,ZMA08,ZJX30
34,25646000,26837000,1191000,ZMA08,ZJX30,ZHU24
34,26837000,27789000,952000,ZJX30,ZHU24,ZHU65
34,27789000,28159000,370000,ZHU24,ZHU65,ZHU70
34,28159000,28433000,274000,ZHU65,ZHU70,ZHU42
34,28433000,29351000,918000,ZHU70,ZHU42,ZFW86
34,29351000,29688000,337000,ZHU42,ZFW86,ZFW89
34,29688000,30179000,491000,ZFW86,ZFW89,ZFW29
34,30179000,30565541,386541,ZFW89,ZFW29,TRACOND10
34,30565541,31365000,799459,TRACOND10,KDFW,XXXX
35,33300000,34134782,834782,XXXX,KTUL,TRACONTKTUL
35,34134782,35059000,924218,TRACONTKTUL,ZFW38,ZFW53
35,35059000,35360000,301000,ZFW38,ZFW53,ZFW37
35,35360000,35633782,273782,ZFW53,ZFW37,TRACOND10
35,35633782,36286000,652218,TRACOND10,KDFW,XXXX
36,33432000,34266782,834782,XXXX,KSAT,TRACONTKSAT
36,34266782,34810000,543218,TRACONTKSAT,ZHU50,ZHU74
36,34810000,34920000,110000,ZHU50,ZHU74,ZFW65
36,34920000,35320000,400000,ZHU74,ZFW65,ZFW62
36,35320000,35593282,273282,ZFW65,ZFW62,TRACOND10
36,35593282,36336000,742718,TRACOND10,KDFW,XXXX
37,33600000,34434782,834782,XXXX,KOKC,TRACONTKOKC
37,34434782,34724000,289218,TRACONTKOKC,ZFW36,ZFWSP
37,34724000,34816000,92000,ZFW36,ZFWSP,ZFW75
37,34816000,35555782,739782,ZFWSP,ZFW75,TRACOND10
37,35555782,35905000,349218,TRACOND10,KDFW,XXXX
38,33780000,34614782,834782,XXXX,KAUS,TRACONTKAUS
38,34614782,34740000,125218,TRACONTKAUS,ZFWGR,ZHU50
38,34740000,35032000,292000,ZFWGR,ZHU50,ZFW62
38,35032000,35825782,793782,ZHU50,ZFW62,TRACOND10
38,35825782,36502000,676218,TRACOND10,KDFW,XXXX
39,32760000,33594782,834782,XXXX,KABI,TRACONTKABI
39,33594782,33623000,28218,TRACONTKABI,ZFWAB,ZFW62
39,33623000,34590782,967782,ZFWAB,ZFW62,TRACOND10
39,34590782,35162000,571218,TRACOND10,KDFW,XXXX
40,33360000,34194782,834782,XXXX,KGRK,TRACONTKGRK
40,34194782,34219000,24218,TRACONTKGRK,ZFWGR,ZFW62
40,34219000,34653282,434282,ZFWGR,ZFW62,TRACOND10
40,34653282,35634000,980718,TRACOND10,KDFW,XXXX
41,31320000,32154782,834782,XXXX,KLBB,TRACONTKLBB
41,32154782,32471000,316218,TRACONTKLBB,ZFW64,ZFW93
41,32471000,32548000,77000,ZFW64,ZFW93,ZFW94
41,32548000,32701000,153000,ZFW93,ZFW94,ZFW47
41,32701000,32891000,190000,ZFW94,ZFW47,ZFW94
41,32891000,33484000,593000,ZFW47,ZFW94,ZFW32
41,33484000,33592000,108000,ZFW94,ZFW32,ZFW75
41,33592000,33880782,288782,ZFW32,ZFW75,TRACOND10
41,33880782,34554000,673218,TRACOND10,KDFW,XXXX
42,29868000,30702782,834782,XXXX,KTPA,TRACONTKTPA
42,30702782,30781000,78218,TRACONTKTPA,ZMAPI,ZJX14
42,30781000,31245000,464000,ZMAPI,ZJX14,ZJX17
